nces_district_id,epa_high_priority,epa_rural_indicator
0900450,Yes,No
0901920,Yes,No
0902160,No,No
0902670,Yes,No
0902790,Yes,No
0902820,Yes,No
0903120,Yes,No
0904830,Yes,No
0905190,Yes,No
2502790,Yes,No
2503540,Yes,No
2503660,Yes,No
2504830,Yes,No
2504890,Yes,No
2505340,Yes,No
2506270,Yes,No
2506660,Yes,No
2508430,Yes,No
2509180,Yes,No
2510050,Yes,No
2511010,Yes,No
2511130,Yes,No
2500043,No,No
2512510,Yes,No
2513230,Yes,No
2382001,Yes,No
5900137,Not in SIAPE,Yes
2300001,Yes,No
5900160,Not in SIAPE,No
2300002,Yes,No
5900042,Not in SIAPE,Yes
2382002,Yes,No
2382009,Yes,No
2300003,Yes,No
2314760,Yes,No
2382008,Yes,No
2302280,No,Yes
2314823,Yes,No
2302730,Yes,No
2302880,No,Yes
2302950,Yes,Yes
2302960,No,Yes
2302980,Yes,Yes
2303390,No,Yes
2303480,No,Yes
2300004,Yes,Yes
2314811,Yes,Yes
2303600,No,Yes
2303610,No,Yes
2314834,Yes,No
2314835,Yes,Yes
2300061,Yes,Yes
2303980,No,Yes
2303990,Yes,Yes
2304110,Yes,Yes
2304160,No,Yes
2314814,Yes,Yes
2304500,No,Yes
2304650,Yes,Yes
2300065,No,Yes
2304830,No,Yes
2304880,No,Yes
2304895,No,Yes
2304897,Yes,No
2304900,Yes,Yes
2305160,Yes,Yes
2314839,No,Yes
2300062,Yes,Yes
2305280,Yes,No
2305380,No,Yes
2305360,Yes,Yes
2312100,Not in SIAPE,Yes
2314818,No,Yes
2307590,No,Yes
2305980,Yes,Yes
2300005,Yes,Yes
2306150,Yes,No
2306160,No,Yes
2306180,Yes,No
2306250,No,Yes
2306330,No,Yes
2306600,No,Yes
2300066,Not in SIAPE,No
2300064,Not in SIAPE,No
2306780,No,Yes
2306870,No,Yes
2306900,Yes,Yes
2307100,Yes,Yes
2307110,No,Yes
2300059,Yes,Yes
2307200,No,Yes
2307320,Yes,No
2314842,Yes,No
2307440,No,Yes
2309100,Not in SIAPE,Yes
2300063,Yes,No
2307710,Yes,Yes
2300067,Yes,Yes
2307770,No,Yes
2307800,No,Yes
2307980,No,Yes
2308140,Yes,No
2308160,Yes,No
2308280,Yes,No
2308340,Yes,Yes
2308400,No,Yes
2314836,Yes,Yes
2310560,Yes,No
2311100,No,Yes
2314530,Yes,No
2311910,Yes,Yes
2308580,No,Yes
2308700,Yes,No
2308760,No,Yes
2308940,No,Yes
2309090,No,Yes
2309240,Yes,Yes
2309560,No,Yes
2309650,No,Yes
2300069,Not in SIAPE,No
2309810,No,Yes
2314810,Not in SIAPE,Yes
2309990,Yes,Yes
