nces_district_id,state_district_id,district_name,county,state,zip_code,zip_plus_four,enrolled_students,number_of_schools,district_setting,district_setting_type,district_type,est_transportation_expenditures,est_total_miles,cost_per_student,cost_per_mile,est_miles_per_student_per_year,est_school_days_per_year,est_miles_per_student_per_day,district_size_sq_mi,district_owned_vehicles,contractor_vehicles,total_vehicles,district_miles,contractor_miles,number_per_vehicle,cost_per_vehicle,gallons_consumed,miles_per_gallon,bus_driver_salary,transport_staff_salaries,total_transport_salaries,average_distance_travelled_by_student,average_cost_per_mile,avg_number_students_transported,route_miles
900208,CT 2850013,Achievement First Bridgeport Academy District,New Haven County,CT,6513,,1105,1,City,Midsize,Charter,,,,,,,,,,,,,,,,,,,,,,,,
900212,CT 2880013,Achievement First Hartford Academy District,New Haven County,CT,6513,,1122,1,City,Midsize,Charter,,,,,,,,,,,,,,,,,,,,,,,,
900024,CT 2790013,Amistad Academy District,New Haven County,CT,6513,,1115,1,City,Midsize,Charter,,,,,,,,,,,,,,,,,,,,,,,,
900030,CT 0010011,Andover School District,Tolland County,CT,6232,,191,1,Rural,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900060,CT 0020011,Ansonia School District,New Haven County,CT,6401,,2247,4,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900070,CT 2440014,Area Cooperative Educational Services,New Haven County,CT,6473,,1819,2,Suburb,Midsize,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
900090,CT 0030011,Ashford School District,Windham County,CT,6278,,381,1,Rural,Distant,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900120,CT 0040011,Avon School District,Hartford County,CT,6001,,3107,5,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900150,CT 0050011,Barkhamsted School District,Litchfield County,CT,6063,,207,1,Rural,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900210,CT 0070011,Berlin School District,Hartford County,CT,6037,,2642,5,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900240,CT 0080011,Bethany School District,New Haven County,CT,6524,,388,1,Rural,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900270,CT 0090011,Bethel School District,Fairfield County,CT,6801,,3149,5,Suburb,Midsize,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900330,CT 0110011,Bloomfield School District,Hartford County,CT,6002,,2018,7,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900360,CT 0120011,Bolton School District,Tolland County,CT,6043,,746,2,Rural,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900217,CT 2950013,Booker T. Washington Academy District,New Haven County,CT,6511,,518,1,City,Midsize,Charter,,,,,,,,,,,,,,,,,,,,,,,,
900390,CT 0130011,Bozrah School District,New London County,CT,6334,185,165,1,Rural,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900420,CT 0140011,Branford School District,New Haven County,CT,6405,,2617,5,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900215,CT 2900013,Brass City Charter School District,New Haven County,CT,6710,,360,1,Suburb,Midsize,Charter,,,,,,,,,,,,,,,,,,,,,,,,
900450,CT 0150011,Bridgeport School District,Fairfield County,CT,6604,,19085,36,City,Midsize,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900510,CT 0170011,Bristol School District,Hartford County,CT,6011,,7642,13,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900540,CT 0180011,Brookfield School District,Fairfield County,CT,6804,,2588,4,Suburb,Midsize,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900570,CT 0190011,Brooklyn School District,Windham County,CT,6234,,865,2,Rural,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900630,CT 0210011,Canaan School District - CT,Litchfield County,CT,6031,,74,1,Rural,Distant,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900660,CT 0220011,Canterbury School District,Windham County,CT,6331,,461,2,Rural,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900690,CT 0230011,Canton School District,Hartford County,CT,6022,,1494,4,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900221,CT 2970013,Capital Preparatory Harbor School District,Fairfield County,CT,6604,,793,1,City,Midsize,Charter,,,,,,,,,,,,,,,,,,,,,,,,
900700,CT 2410014,Capitol Region Education Council,Hartford County,CT,6106,,8724,16,Suburb,Large,Specialized,,,,,,,,,,,,,,,,,,,,,,,,
900720,CT 0240011,Chaplin School District,Windham County,CT,6235,,154,1,Rural,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900750,CT 0250011,Cheshire School District,New Haven County,CT,6410,,4184,7,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900780,CT 0260011,Chester School District,Middlesex County,CT,6417,,209,1,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900810,CT 0270011,Clinton School District,Middlesex County,CT,6413,,1542,3,Suburb,Large,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900840,CT 0280011,Colchester School District - CT,New London County,CT,6415,,2216,4,Town,Fringe,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
900870,CT 0290011,Colebrook School District,Litchfield County,CT,6021,,77,1,Rural,Distant,Regular Local,,,,,,,,,,,,,,,,,,,,,,,,
